"2023-06-22 16:10:08 [restartedMain] INFO  c.c.e.p.ProductServiceApplication - Starting ProductServiceApplication using Java 19.0.1 on LAPTOP-IDSVDCJK with PID 19536 (C:\Users\user\OneDrive\Documents\productService\target\classes started by user in C:\Users\user\OneDrive\Documents\productService)
""2023-06-22 16:10:08 [restartedMain] INFO  c.c.e.p.ProductServiceApplication - No active profile set, falling back to 1 default profile: "default"
""2023-06-22 16:10:08 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
""2023-06-22 16:10:08 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
""2023-06-22 16:10:08 [restartedMain] WARN  o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@11b7b4c uris = array<String>['http://localhost:8888'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8888/product-service/default": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information
""2023-06-22 16:10:09 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
""2023-06-22 16:10:09 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 1 MongoDB repository interfaces.
""2023-06-22 16:10:09 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=887fc754-32fd-3f42-acb5-a650f68e7e6c
""2023-06-22 16:10:09 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9002 (http)
""2023-06-22 16:10:09 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-06-22 16:10:09 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
""2023-06-22 16:10:09 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-06-22 16:10:09 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 776 ms
